Shape,1k Real 1,1k Real 2,1k Real 3,1k Img 1,1k Img 2,1k Img 3,2k Real 1,2k Real 2,2k Real 3,2k Img 1,2k Img 2,2k Img 3
Aluminium Cylinder,-0.214182287,-0.214639401,-0.145800503,0.060241076,0.057744689,0.332546561,-0.611244082,-0.612465776,-0.171172136,0.791846856,0.790436112,0.121090246
Aluminium Cylinder,-0.249612625,-0.250081434,-0.144427023,-0.003956204,-0.004956375,0.243701665,-0.43739853,-0.435203669,-0.574914987,0.688987211,0.680579937,0.466204864
Aluminium Cylinder,-0.281189614,-0.281448313,-0.160326963,-0.007856583,-0.00663193,0.138627804,-0.21865887,-0.218007688,-0.844073434,0.443634549,0.432472996,0.695982599
Aluminium Cylinder,-0.29975173,-0.299506722,-0.189673458,0.066593751,0.070448785,0.046475186,-0.151203326,-0.157311865,-0.865029715,0.19128485,0.180991901,0.697323655
Aluminium Cylinder,-0.298631143,-0.297758925,-0.223829273,0.225207482,0.231729266,-0.002448053,-0.327959802,-0.340471535,-0.69093542,0.027637976,0.019879731,0.473395979
Aluminium Cylinder,-0.27552251,-0.274040641,-0.252705799,0.460626216,0.469441105,0.017257006,-0.669482763,-0.683311713,-0.507483814,-0.026819746,-0.031996181,0.138433861
Aluminium Cylinder,-0.23282678,-0.230856792,-0.267193637,0.753687167,0.764103788,0.121160696,-0.985794433,-0.994802301,-0.498971224,0.019356336,0.017528201,-0.166635738
Aluminium Cylinder,-0.176605323,-0.174359237,-0.261358693,1.07671876,1.087838647,0.311663254,-1.114026989,-1.114466065,-0.707174986,0.201219068,0.206359227,-0.362900873
Aluminium Cylinder,-0.115179635,-0.112911254,-0.233937848,1.398166103,1.409079713,0.577617756,-1.020739793,-1.014160028,-0.999474044,0.601538756,0.617774618,-0.441785723
Aluminium Cylinder,-0.056844361,-0.054802288,-0.18824109,1.687018211,1.69681378,0.896373232,-0.798589575,-0.789373263,-1.180523843,1.260294071,1.288671358,-0.384210667
Aluminium Cylinder,-0.009003472,-0.007331152,-0.130974975,1.916317038,1.924248538,1.237743889,-0.571686823,-0.563933375,-1.130394168,2.064381634,2.099313929,-0.098888329
Aluminium Cylinder,0.023239571,0.02438018,-0.070354375,2.065253041,2.070749872,1.568777305,-0.418361295,-0.412996721,-0.889944303,2.745034032,2.776166989,0.538736544
Aluminium Cylinder,0.036044408,0.036619394,-0.014971376,2.121637232,2.124419525,1.858331065,-0.356351281,-0.353867697,-0.599678313,3.003753671,3.021267614,1.54521855
Aluminium Cylinder,0.028397136,0.028421843,0.028430858,2.080440525,2.080457247,2.080461108,-0.384926768,-0.385398142,-0.385918767,2.70902853,2.708705597,2.708832
Aluminium Cylinder,0.001393783,0.000878159,0.055394987,1.945297462,1.942659701,2.216482031,-0.515200268,-0.517403177,-0.281468298,1.983650464,1.969797039,3.631237404
Aluminium Cylinder,-0.042395231,-0.043318794,0.063048961,1.727472846,1.722601525,2.255177856,-0.740341258,-0.744868428,-0.257635481,1.12437788,1.104660487,3.925446768
Aluminium Cylinder,-0.098105922,-0.099228175,0.050441906,1.446359995,1.439843949,2.193927251,-0.991231546,-0.9961556,-0.295997835,0.418160022,0.400202313,3.457844235
Aluminium Cylinder,-0.158181018,-0.159302083,0.019390772,1.127948605,1.120561005,2.036662087,-1.13917014,-1.141133164,-0.422635645,-0.002696112,-0.015875668,2.441291443
Aluminium Cylinder,-0.214582137,-0.215476463,-0.027334456,0.803099789,0.795650613,1.796776651,-1.073103997,-1.07113611,-0.659767723,-0.174776287,-0.183840789,1.282391317
Aluminium Cylinder,-0.259019614,-0.259499078,-0.084348764,0.50377342,0.497120523,1.494955501,-0.800798096,-0.796009157,-0.951912799,-0.193419884,-0.199610884,0.352172068
